Depth_m,Distance_to_Shore,Turbidity,Windspeed,Cyclone_Frequency,Temperature_Maximum,SSTA_DHW,Percent_Bleaching
6.0,133.2,0.0209,5.0,61.98,304.59,0.0,60.0
6.0,1013.58,0.0444,4.0,48.78,305.58,15.85,60.0
1.0,1525.14,0.0252,7.0,51.97,304.37,1.3,60.0
2.0,3322.5,0.0471,7.0,52.67,305.07,1.04,60.0
3.0,2301.28,0.0485,4.0,44.43,303.48,4.49,60.0
9.0,1494.24,0.0404,3.0,46.93,306.32,6.12,60.0
13.4,912.32,0.0273,6.0,49.1,304.6,1.32,60.0
10.05,706.52,0.0273,6.0,49.1,304.6,0.0,60.0
8.95,784.52,0.0286,4.0,49.1,304.62,0.72,60.0
18.6,671.32,0.0406,4.0,36.82,304.98,7.61,60.0
5.95,603.83,0.0273,4.0,49.1,304.6,4.58,60.0
3.55,893.53,0.041,4.0,46.93,307.65,11.76,60.0
15.75,1195.22,0.0286,6.0,49.1,304.62,0.0,60.0
15.95,1195.22,0.0286,6.0,49.1,304.62,0.0,60.0
4.75,888.61,0.0286,6.0,49.1,304.62,0.0,60.0
5.75,888.61,0.0286,6.0,49.1,304.62,0.0,60.0
3.05,486.55,0.0444,4.0,47.0,304.79,1.02,60.0
4.6,909.45,0.028,5.0,50.37,304.6,2.12,60.0
12.5,1018.88,0.0273,4.0,49.1,304.62,0.72,60.0
10.25,1252.44,0.0392,4.0,46.93,307.65,0.0,60.0
4.6,668.53,0.028,5.0,50.37,304.6,2.12,60.0
14.0,190.68,0.0327,4.0,61.03,304.3,12.13,60.0
6.0,136.06,0.1136,3.0,48.32,306.6,11.22,60.0
6.0,1561.17,0.0495,2.0,44.93,305.05,3.3,60.0
4.0,1325.71,0.1752,3.0,45.9,310.77,6.15,60.0
11.0,157.2,0.0473,6.0,46.39,303.92,19.46,60.0
22.0,1959.7,0.0353,4.0,65.66,304.35,12.35,60.0
10.0,171.76,0.0395,3.0,65.66,304.05,0.0,60.0
5.6,427.7,0.0609,7.0,51.35,304.67,4.19,60.0
12.19,753.71,0.0631,7.0,65.39,303.76,1.38,60.0
2.55,4930.39,0.1636,3.0,58.01,305.55,1.73,60.4
3.5,1959.7,0.0353,7.0,65.66,304.35,1.44,60.5
8.55,1112.23,0.0279,6.0,49.1,304.39,2.65,60.9
7.0,84.79,0.0395,4.0,65.66,304.05,10.61,60.9
11.0,1965.45,0.0326,5.0,67.4,303.38,13.88,61.0
12.0,521.4,0.0366,8.0,49.35,304.47,9.12,61.0
6.0,1038.72,0.0446,6.0,47.11,304.54,22.7,61.0
9.0,886.95,0.0386,9.0,69.08,304.6,13.57,61.0
6.0,49.25,0.2584,3.0,46.32,308.53,11.38,61.06
4.05,4499.93,0.155,8.0,54.86,305.11,1.58,61.3
9.1,1006.85,0.028,5.0,50.37,304.6,2.12,61.5
10.8,1260.9,0.0447,4.0,36.82,305.36,0.0,61.5
9.95,1260.9,0.0447,6.0,36.82,305.36,4.39,61.5
17.6,1483.98,0.0447,4.0,36.82,305.36,0.0,61.5
3.5,143.6,0.0324,7.0,49.07,304.31,7.96,61.8
14.5,537.9,0.0279,6.0,49.1,304.39,2.65,61.8
9.6,1018.88,0.0273,7.0,49.1,304.62,5.39,61.9
9.8,1018.88,0.0273,7.0,49.1,304.62,5.39,61.9
15.85,1212.26,0.0273,4.0,49.1,304.62,4.6,61.9
18.0,1023.87,0.0395,7.0,65.66,304.02,4.35,61.9
7.6,7950.11,0.0766,4.0,62.25,305.29,1.04,61.9
1.0,11.55,0.0258,4.0,51.97,305.29,0.0,62.0
6.0,281.02,0.0261,5.0,56.71,305.07,5.13,62.0
6.0,163.79,0.0661,5.0,46.29,305.63,34.24,62.05
5.85,7934.4,0.0818,3.0,57.28,304.92,1.49,62.3
3.12,1228.21,0.0444,6.0,54.14,304.91,6.17,62.5
3.65,373.08,0.0401,6.0,51.1,304.63,2.65,62.5
11.5,567.31,0.0373,7.0,48.86,304.44,7.84,62.5
12.75,1524.54,0.0377,4.0,37.81,304.98,6.23,62.5
11.85,1864.56,0.0326,9.0,52.51,304.86,6.44,62.5
2.0,419.0,0.0329,8.0,56.83,310.32,12.12,62.5
7.1,451.64,0.0406,5.0,36.82,304.98,0.0,62.5
10.25,1785.54,0.028,4.0,50.37,304.6,0.56,62.5
10.1,1018.88,0.0273,4.0,49.1,304.62,4.6,62.5
12.0,2288.57,0.0928,6.0,74.88,304.35,1.04,62.5
12.0,265.51,0.0631,8.0,65.39,303.76,0.0,62.5
5.0,3.79,0.09,4.0,60.06,304.61,11.09,62.5
5.0,865.0,0.0756,4.0,60.06,304.4,14.49,62.5
11.3,2083.58,0.0443,6.0,65.39,303.7,12.29,62.5
3.7,1264.45,0.0372,6.0,65.39,303.86,11.61,62.6
11.5,1730.08,0.0283,5.0,54.62,304.04,2.35,62.7
2.8,4586.13,0.1629,4.0,58.32,305.27,1.35,62.7
12.0,251.26,0.0842,6.0,74.88,304.45,1.16,62.8
6.0,554.47,0.0481,3.0,47.96,305.49,3.52,63.0
6.0,650.61,0.0275,3.0,54.08,308.35,2.69,63.0
6.0,909.94,0.2687,3.0,49.72,305.91,3.22,63.0
6.0,10410.12,0.0747,4.0,68.79,304.97,4.22,63.0
6.0,2049.45,0.0329,2.0,57.55,305.47,6.29,63.0
22.5,1928.93,0.0406,8.0,75.7,306.33,8.9,63.0
22.5,1888.5,0.0406,8.0,75.7,306.33,8.9,63.0
10.2,973.06,0.0286,7.0,49.1,304.62,5.39,63.0
10.0,2671.76,0.0497,3.0,47.48,305.33,3.77,63.0
14.0,97.25,0.0499,4.0,46.39,303.85,11.94,63.0
12.8,2106.64,0.0396,6.0,65.39,304.05,9.31,63.0
6.0,8.42,0.0261,5.0,56.71,305.07,5.13,63.0
8.5,1216.25,0.0366,3.0,50.54,308.14,4.27,63.2
7.0,198.31,0.0928,6.0,74.88,304.48,7.49,63.2
6.7,9346.75,0.0999,3.0,57.13,305.52,1.22,63.3
12.2,2225.05,0.0631,6.0,65.39,303.76,10.41,63.4
10.1,1494.24,0.0404,6.0,46.93,306.32,3.67,63.6
6.15,308.54,0.0279,5.0,49.1,304.6,0.55,63.6
8.05,1216.25,0.0366,5.0,50.54,308.14,0.0,63.6
6.1,486.55,0.0444,3.0,47.0,304.79,2.19,63.6
5.35,966.55,0.0279,4.0,49.1,304.39,5.58,63.6
7.0,309.43,0.0842,6.0,74.88,304.45,1.16,63.6
3.0,4678.1,0.0608,8.0,57.28,304.95,1.24,63.6
3.0,31.7,0.0332,7.0,61.78,303.91,5.44,63.8
10.0,31.7,0.0332,7.0,61.78,303.91,5.44,63.8
10.0,192.73,0.0323,6.0,63.2,303.72,0.0,63.8
3.6,8165.13,0.0745,7.0,60.51,304.94,1.97,63.9
6.0,587.84,0.0488,6.0,39.13,304.88,2.29,64.0
12.5,706.52,0.0273,4.0,49.1,304.6,1.08,64.0
16.1,975.99,0.0286,6.0,49.1,304.62,0.0,64.0
13.4,673.48,0.0631,6.0,65.39,303.7,12.29,64.0
6.0,875.06,0.0599,5.0,42.75,308.19,21.14,64.15
6.3,1259.2,0.041,5.0,46.93,307.65,0.0,64.3
12.65,603.52,0.0406,5.0,36.82,304.98,0.0,64.3
8.95,1492.58,0.0273,4.0,49.1,304.62,0.72,64.3
14.8,1212.26,0.0273,4.0,49.1,304.62,6.52,64.3
19.55,1118.47,0.028,5.0,50.37,304.6,2.12,64.3
12.0,159.27,0.1082,6.0,52.79,304.19,5.19,64.3
6.1,7631.67,0.0627,8.0,62.54,305.16,1.2,64.3
7.0,61.59,0.1082,6.0,52.79,304.19,5.19,64.6
15.85,671.32,0.0406,4.0,36.82,304.98,3.18,64.7
9.6,1018.88,0.0273,7.0,49.1,304.62,5.39,64.7
15.25,1212.26,0.0273,6.0,49.1,304.62,0.88,64.7
8.5,6923.2,0.0251,4.0,54.15,304.6,0.0,65.0
5.5,989.12,0.0731,7.0,51.57,302.86,17.4,65.0
5.0,274.94,0.1889,5.0,46.92,307.65,14.18,65.0
11.85,1864.56,0.0326,9.0,52.51,304.86,6.44,65.0
6.0,2585.0,0.0729,5.0,55.64,303.87,7.84,65.0
6.0,885.57,0.0477,3.0,49.82,305.1,3.39,65.0
5.0,23.46,0.0645,9.0,92.3,305.25,5.41,65.0
6.0,286.92,0.0917,3.0,38.36,305.52,1.3,65.0
3.75,4859.98,0.1491,3.0,58.01,305.07,1.38,65.0
13.7,3086.24,0.0394,6.0,65.39,304.05,9.31,65.1
14.5,1184.38,0.0279,6.0,49.1,304.39,2.65,65.2
13.35,975.99,0.0286,6.0,49.1,304.62,0.0,65.4
10.0,548.73,0.0307,9.0,88.72,303.97,0.0,65.4
10.0,36.61,0.0452,4.0,46.39,303.85,12.06,65.5
3.6,3727.92,0.1636,3.0,58.01,305.55,1.73,65.6
4.65,7558.08,0.0608,8.0,57.28,304.84,1.02,65.6
20.0,1730.08,0.0283,8.0,54.62,304.04,0.0,65.9
6.0,587.84,0.0488,6.0,39.13,304.88,2.29,66.0
3.15,4508.37,0.0753,5.0,42.48,306.6,2.64,66.0
8.0,36.67,0.0501,6.0,46.39,303.77,12.9,66.0
4.65,3865.92,0.0608,8.0,57.28,304.95,1.24,66.1
10.7,321.31,0.0631,6.0,65.39,303.7,12.29,66.1
8.5,1991.78,0.0396,6.0,65.39,304.05,9.31,66.1
10.35,633.03,0.0406,3.0,36.82,304.98,4.42,66.67
5.8,975.11,0.0366,4.0,50.54,308.14,1.12,66.67
18.6,1481.68,0.0447,4.0,36.82,305.36,0.0,66.67
12.8,1130.97,0.0366,3.0,50.54,308.14,0.0,66.67
18.15,683.39,0.0406,3.0,36.82,304.98,1.01,66.67
10.5,1214.31,0.0392,4.0,46.93,307.65,0.0,66.67
9.1,1214.31,0.0392,4.0,46.93,307.65,0.0,66.67
15.25,1592.73,0.041,4.0,46.93,307.65,0.0,66.67
3.0,920.53,0.0395,4.0,46.93,307.65,0.0,66.67
19.8,1968.59,0.0401,4.0,47.04,304.79,0.0,66.67
17.85,1400.2,0.0447,4.0,36.82,305.36,0.86,66.67
17.85,1400.2,0.0447,5.0,36.82,305.36,0.0,66.67
6.55,439.76,0.0406,5.0,36.82,304.98,0.0,66.67
5.2,624.85,0.0273,7.0,49.1,304.6,6.63,66.67
6.0,849.82,0.0286,6.0,49.1,304.62,0.0,66.67
14.2,956.77,0.0286,6.0,49.1,304.62,0.0,66.67
12.2,3704.41,0.0495,6.0,48.48,304.83,0.0,66.67
3.96,213.84,0.0444,6.0,54.14,304.91,6.17,66.7
3.12,1228.21,0.0444,6.0,54.14,304.91,6.17,66.7
3.12,1228.21,0.0444,6.0,54.14,304.91,6.17,66.7
7.0,667.52,0.0373,9.0,47.91,305.17,5.11,66.7
15.25,1581.23,0.041,4.0,46.93,307.65,0.0,66.7
5.2,603.83,0.0273,7.0,49.1,304.6,6.63,66.7
10.35,603.52,0.0406,3.0,36.82,304.98,4.42,66.7
6.0,888.61,0.0286,6.0,49.1,304.62,0.0,66.7
14.2,975.99,0.0286,6.0,49.1,304.62,0.0,66.7
12.8,1216.25,0.0366,3.0,50.54,308.14,0.0,66.7
5.2,1018.88,0.0273,7.0,49.1,304.62,5.39,66.7
18.6,1483.98,0.0447,4.0,36.82,305.36,0.0,66.7
14.95,1212.26,0.0273,6.0,49.1,304.62,0.88,66.7
13.4,1212.26,0.0273,6.0,49.1,304.62,0.88,66.7
3.0,890.33,0.0395,4.0,46.93,307.65,0.0,66.7
15.5,1184.38,0.0279,4.0,49.1,304.39,1.05,66.7
17.85,1373.35,0.0447,4.0,36.82,305.36,0.86,66.7
17.85,1373.35,0.0447,5.0,36.82,305.36,0.0,66.7
9.1,1252.44,0.0392,4.0,46.93,307.65,0.0,66.7
19.8,1902.89,0.0401,4.0,47.04,304.79,0.0,66.7
5.8,984.12,0.0366,4.0,50.54,308.14,1.12,66.7
7.0,219.97,0.0977,6.0,74.88,304.45,1.16,66.7
10.0,802.65,0.0386,9.0,69.08,304.6,13.57,66.7
10.0,802.65,0.0386,9.0,69.08,304.6,13.57,66.7
12.0,296.21,0.0352,6.0,69.08,304.64,12.24,66.7
13.0,503.13,0.0462,6.0,69.08,304.74,15.89,66.7
13.0,547.11,0.0345,8.0,63.96,303.97,4.63,66.7
7.0,84.79,0.0395,4.0,65.66,304.05,10.61,66.7
15.0,150.06,0.0348,4.0,65.66,304.35,12.35,66.7
6.0,177.78,0.039,6.0,65.66,303.98,16.47,66.7
15.4,6651.81,0.0889,4.0,62.59,305.44,1.05,66.7
10.6,7920.23,0.1005,7.0,60.51,305.26,0.0,66.7
3.0,8860.29,0.0999,8.0,57.13,305.52,1.0,66.7
5.0,1335.04,0.0449,9.0,63.96,304.02,7.15,66.7
3.5,13941.88,0.0334,7.0,52.28,303.94,7.23,66.8
6.0,875.06,0.0599,5.0,42.75,308.19,21.14,66.95
6.0,587.84,0.0488,6.0,39.13,304.88,2.29,67.0
3.5,107.19,0.0499,4.0,58.41,303.77,12.15,67.0
10.5,34.72,0.0332,8.0,61.78,303.91,2.08,67.1
6.0,608.66,0.0584,6.0,41.21,306.29,11.32,67.28
3.12,1228.21,0.0444,6.0,54.14,304.91,6.17,67.9
2.5,417.64,0.1172,11.0,53.43,303.98,13.69,68.0
5.5,417.64,0.1172,11.0,53.43,303.98,13.69,68.0
9.0,296.21,0.0352,6.0,69.08,304.64,12.24,68.0
6.0,503.13,0.0462,6.0,69.08,304.74,15.89,68.0
16.5,877.23,0.0623,4.0,56.65,304.17,15.26,68.0
2.0,1563.23,0.1656,7.0,62.75,304.66,0.0,68.0
14.0,118.93,0.043,4.0,54.3,303.6,12.32,68.1
17.6,982.49,0.028,6.0,50.37,304.6,0.0,68.4
10.2,1785.54,0.028,7.0,50.37,304.6,3.75,68.4
17.6,1006.35,0.028,6.0,50.37,304.6,0.0,68.42
16.15,956.77,0.0286,4.0,49.1,304.62,4.6,68.75
16.15,975.99,0.0286,4.0,49.1,304.62,4.6,68.8
8.5,6927.91,0.0565,8.0,62.62,306.39,3.66,68.8
14.0,97.25,0.0499,4.0,46.39,303.85,11.94,68.9
14.0,118.93,0.043,4.0,54.3,303.6,12.32,68.9
6.0,587.84,0.0488,6.0,39.13,304.88,2.29,69.0
11.0,468.46,0.0424,6.0,65.39,304.07,13.51,69.1
18.9,671.32,0.0406,4.0,36.82,304.98,7.61,69.2
9.1,1292.93,0.0444,4.0,47.0,304.79,0.0,69.2
18.9,683.39,0.0406,4.0,36.82,304.98,7.61,69.23
9.1,1320.15,0.0444,4.0,47.0,304.79,0.0,69.23
3.0,4646.87,0.0608,3.0,57.28,304.95,1.88,69.4
3.0,15058.81,0.4058,3.0,64.49,306.95,8.18,69.4
14.0,118.93,0.043,4.0,54.3,303.6,12.32,69.4
6.0,977.35,0.0523,6.0,41.23,307.1,12.14,69.49
40.0,296.21,0.0352,9.0,69.08,304.64,9.84,69.6
6.0,30998.33,0.0813,7.0,48.1,303.75,8.51,69.94
6.0,2953.7,0.0365,6.0,42.11,304.79,3.83,70.0
11.55,2333.94,0.0344,9.0,39.42,304.89,2.56,70.0
7.0,90.12,0.1214,4.0,49.94,306.94,17.31,70.0
3.0,1319.23,0.1346,1.0,51.34,305.69,5.11,70.0
3.5,1214.3,0.1377,1.0,51.72,305.23,3.26,70.0
2.5,310.95,0.0313,10.0,56.52,304.48,1.33,70.0
12.5,310.95,0.0313,10.0,56.52,304.48,1.33,70.0
6.0,3866.56,0.0509,4.0,38.73,303.85,9.23,70.0
6.0,14223.22,0.055,4.0,38.73,303.64,10.15,70.0
7.0,4478.76,0.0685,5.0,53.28,304.14,7.79,70.0
6.0,4380.91,0.0685,5.0,53.28,304.14,7.79,70.0
6.0,28.73,0.0605,5.0,51.57,304.04,5.36,70.0
